surrogate_key,product,uid,is_active,valid_from,valid_until
6883,security,BBG001SCSHS2,True,,
6884,security,BBG00RMKTC03,True,,
6885,security,BBG001T1NN61,True,,
6886,security,BBG012F6KJ91,True,,
6887,security,BBG001SNC510,True,,
6888,security,BBG0062S8DS5,True,,
6889,security,BBG001S5ZVK6,True,,
6890,security,BBG00FB4PN16,True,,
6891,security,BBG001S5Y8J0,True,,
6892,security,BBG001SPGV78,True,,
6893,security,BBG001SC5TT0,True,,
6894,security,BBG002VKN6C4,True,,
6895,security,BBG002CLQ5R6,True,,
6896,security,BBG001S5ZFR4,True,,
6897,security,BBG001S7HDL1,True,,
6898,security,BBG00KXMV4X1,True,,
6899,security,BBG001SSG980,True,,
6900,security,BBG00GM640V7,True,,
6901,security,BBG001T9BH88,True,,
6902,security,BBG001SNMN10,True,,
6903,security,BBG0029H7M66,True,,
6904,security,BBG001S9C7T7,True,,
6905,security,BBG001V0F4T6,True,,
6906,security,BBG001S8YB52,True,,
6907,security,BBG001SLNQ61,True,,
6908,security,BBG00Z8MPHK8,True,,
6909,security,BBG001S76N40,True,,
6910,security,BBG001SB0555,True,,
6911,security,BBG001SCHTR9,True,,
6912,security,BBG001SSCT99,True,,
6913,security,BBG001SG56C9,True,,
6914,security_ticker,AAWH/U,True,,
6915,security_ticker,ABRA,True,,
6916,security_ticker,1AH0,True,,
6917,security_ticker,ABRAEUR,True,,
6918,security_ticker,ABRACAD,True,,
6919,security_ticker,ABRAGBP,True,,
6920,security_ticker,ABRAUSD,True,,
6921,security_ticker,36N0,True,,
6922,security_ticker,NMLEUR,True,,
6923,security_ticker,NMLCAD,True,,
6924,security_ticker,NMLUSD,True,,
6925,security_ticker,MKC,True,,
6926,security_ticker,0GFN,True,,
6927,security_ticker,AAC2EUR,True,,
6928,security_ticker,AAC2SEK,True,,
6929,security_ticker,AAC2USD,True,,
6930,security_ticker,AAC2GBP,True,,
6931,security_ticker,AACS,True,,
6932,security_ticker,ACRG/A/U,True,,
6933,security_ticker,0VZ1,True,,
6934,security_ticker,ACRG2EUR,True,,
6935,security_ticker,ACRG2USD,True,,
6936,security_ticker,ADS,True,,
6937,security_ticker,ADSGBX,True,,
6938,security_ticker,ADSCHF,True,,
6939,security_ticker,ADSD,True,,
6940,security_ticker,ADIDAS,True,,
6941,security_ticker,ADS1,True,,
6942,security_ticker,ADSN,True,,
6943,security_ticker,ADSCAD,True,,
6944,security_ticker,ADSRUB,True,,
6945,security_ticker,ADDDFN,True,,
6946,security_ticker,ADSEUR,True,,
6947,security_ticker,ADIDAT,True,,
6948,security_ticker,ADSHUF,True,,
6949,security_ticker,ADSRON,True,,
6951,security_ticker,ADDYYUSD,True,,
6952,security_ticker,ADDYYGBP,True,,
6953,security_ticker,ADDYYEUR,True,,
6954,security_ticker,3FN,True,,
6955,security_ticker,ADTAUD,True,,
6956,security_ticker,ADT3EUR,True,,
6957,security_ticker,ADT3USD,True,,
6958,security_ticker,AHOD,True,,
6959,security_ticker,ADRNYUSD,True,,
6960,security_ticker,AHOG,True,,
6961,security_ticker,ADA,True,,
6962,security_ticker,ADN,True,,
6963,security_ticker,ADEUR2,True,,
6964,security_ticker,ADGBX,True,,
6965,security_ticker,AHODFN,True,,
6966,security_ticker,ADEEK,True,,
6967,security_ticker,AD,True,,
6968,security_ticker,AKB2,True,,
6969,security_ticker,AKBTYGBP,True,,
6970,security_ticker,AKBTYEUR,True,,
6971,security_ticker,AKBTYUSD,True,,
6972,security_ticker,606,True,,
6973,security_ticker,ACCO,True,,
6974,security_ticker,ACC,True,,
6975,security_ticker,ACCMENOK,True,,
6976,security_ticker,ACCMEGBP,True,,
6977,security_ticker,ACCMEEUR,True,,
6978,security_ticker,ACCMEUSD,True,,
6979,security_ticker,AKOM,True,,
6980,security_ticker,AKUP,True,,
6981,security_ticker,AKZOYUSD,True,,
6982,security_ticker,ARAH,True,,
6983,security_ticker,AH,True,,
6984,security_ticker,FFCEUR,True,,
6985,security_ticker,FFCCAD,True,,
6986,security_ticker,FFCUSD,True,,
6987,security_ticker,765,True,,
6988,security_ticker,PMD1EUR,True,,
6989,security_ticker,PMD1CAD,True,,
6990,security_ticker,PMD1GBP,True,,
6991,security_ticker,PMD1USD,True,,
6992,security_ticker,765D,True,,
6993,security_ticker,BHQ,True,,
6994,security_ticker,AOT,True,,
6995,security_ticker,AOT1EUR,True,,
6996,security_ticker,AOT1CAD,True,,
6997,security_ticker,AOT1USD,True,,
6998,security_ticker,AGMGBX,True,,
6999,security_ticker,AGMEUR,True,,
7000,security_ticker,AGMUSD,True,,
7001,security_ticker,AGML,True,,
7002,security_ticker,APLI,True,,
7003,security_ticker,0XP,True,,
7004,security_ticker,ARB,True,,
7005,security_ticker,ARBGBX,True,,
7006,security_ticker,ARBUSD,True,,
7007,security_ticker,ARB1EUR,True,,
7008,security_ticker,ARBL,True,,
7009,security_ticker,5G6,True,,
7010,security_ticker,AX-U,True,,
7011,security_ticker,AX-UEUR,True,,
7012,security_ticker,AX-UCAD,True,,
7013,security_ticker,RE8,True,,
7014,security_ticker,ARG,True,,
7015,security_ticker,ARGRN,True,,
7016,security_ticker,ARGEUR,True,,
7017,security_ticker,ARGGBP,True,,
7018,security_ticker,ARGCAD,True,,
7019,security_ticker,ARGUSD,True,,
7020,security_ticker,AVSN,True,,
7021,security_ticker,ASMIYUSD,True,,
7022,security_ticker,ASMIYEUR,True,,
7023,security_ticker,ATY,True,,
7024,security_ticker,9AO,True,,
7025,security_ticker,ATY1EUR,True,,
7026,security_ticker,ATY1CAD,True,,
7027,security_ticker,VTM,True,,
7028,security_ticker,ALS,True,,
7029,security_ticker,0UHC,True,,
7030,security_ticker,ALSEUR,True,,
7031,security_ticker,ALSGBP,True,,
7032,security_ticker,ALSCAD,True,,
7033,security_ticker,ALSUSD,True,,
7034,security_ticker,AUMB,True,,
7035,security_ticker,HMCEUR,True,,
7036,security_ticker,HMC1GBP,True,,
7037,security_ticker,HMC1CAD,True,,
7038,security_ticker,UHY0,True,,
7039,security_ticker,1BU0,True,,
7040,security_ticker,AVNT,True,,
7041,security_ticker,GTECEUR,True,,
7042,security_ticker,GTECGBP,True,,
7043,security_ticker,GTECCAD,True,,
7044,security_ticker,GTECUSD,True,,
7045,security_ticker,WMC,True,,
7046,security_ticker,AWCMYUSD,True,,
7047,security_ticker,AWCMYEUR,True,,
7048,security_ticker,AXA,True,,
7049,security_ticker,CSP,True,,
7050,security_ticker,AXAN,True,,
7051,security_ticker,CS,True,,
7052,security_ticker,AXAHFN,True,,
7053,security_ticker,AXAD,True,,
7054,security_ticker,AXAA,True,,
7055,security_ticker,AXAHYUSD,True,,
7056,security_ticker,AXAHYEUR,True,,
7057,security_ticker,AXAHYGBP,True,,
7058,security_ticker,AXAAD,True,,
7059,security_ticker,AYR/A,True,,
7060,security_ticker,3KJB,True,,
7061,security_ticker,AYR/AEUR,True,,
7062,security_ticker,AYR/ACAD,True,,
7063,security_ticker,AYR/AUSD,True,,
7064,security_ticker,0YL,True,,
7065,security_ticker,BABY,True,,
7066,security_ticker,BABY1EUR,True,,
7067,security_ticker,BABY1GBP,True,,
7068,security_ticker,BABY1USD,True,,
7069,security_ticker,BABY1CAD,True,,
7070,security_ticker,BASA,True,,
7071,security_ticker,BIGG,True,,
7072,security_ticker,7111,True,,
7073,security_ticker,ACM1EUR,True,,
7074,security_ticker,ACM1CAD,True,,
7075,security_ticker,ACM1USD,True,,
7076,security_ticker,BBRDF,True,,
7077,security_ticker,BBXIAUSD,True,,
7078,security_ticker,BCM,True,,
7079,security_ticker,OU6,True,,
7080,security_ticker,BCMEUR,True,,
7081,security_ticker,BCMGBP,True,,
7082,security_ticker,BCM1USD,True,,
7083,security_ticker,BBDC,True,,
7084,security_ticker,BBD/B,True,,
7085,security_ticker,0QZP,True,,
7086,security_ticker,BBDBN,True,,
7087,security_ticker,BBD/BCHF,True,,
7088,security_ticker,BBD/BEUR,True,,
7089,security_ticker,BBD/BCAD,True,,
7090,security_ticker,BBD/BGBP,True,,
7091,security_ticker,BBD/BUSD,True,,
7092,security_ticker,0QZPL,True,,
7093,security_ticker,BAS,True,,
7094,security_ticker,BASGBX,True,,
7095,security_ticker,BASCHF,True,,
7096,security_ticker,BASUSD,True,,
7097,security_ticker,BASD,True,,
7098,security_ticker,BASF,True,,
7099,security_ticker,BASN,True,,
7100,security_ticker,BASRUB,True,,
7101,security_ticker,BASPLN,True,,
7102,security_ticker,BASZ,True,,
7103,security_ticker,BFFAFN,True,,
