source,product,field,source_value,source_description,uid,uid_description,is_seed,valid_from,valid_until,is_active
EodHistoricalData,exchange,exchange_code,EUFUND,,EOD_EUFUND,,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,MONEY,,EOD_MONEY,,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,GBOND,,EOD_GBOND,,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,LIM,,XLIM,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,TWO,,ROCO,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,MCX,,EOD_MCX,,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,EUBOND,,EOD_EUBOND,,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,TW,,XTAI,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,USA,,US,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,UK,,GB,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Canada,,CA,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Germany,,DE,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Luxembourg,,LU,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Austria,,AT,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Italy,,IT,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,France,,FR,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Belgium,,BE,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Netherlands,,NL,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Switzerland,,CH,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Portugal,,PT,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Spain,,ES,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Ireland,,IE,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Finland,,FI,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Sweden,,SE,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Norway,,NO,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Iceland,,IS,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Denmark,,DK,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Czech Republic,,CZ,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Hong Kong,,HK,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Israel,,IL,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Korea,,KR,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Philippines,,PH,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Poland,,PL,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Hungary,,HU,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Singapore,,SG,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,India,,IN,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Thailand,,TH,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Australia,,AU,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Pakistan,,PK,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Japan,,JP,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Chile,,CL,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Saudi Arabia,,SA,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,South Africa,,ZA,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Indonesia,,ID,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,China,,CN,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Greece,,GR,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Sri Lanka,,LK,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Vietnam,,VN,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Malaysia,,MY,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Argentina,,AR,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Brazil,,BR,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Romania,,RO,,True,2023-01-01 00:00:00,,True
